stim_num	turker_label	true_label	is_correct	eventType	iterationName	gameid	time	role	rule_idx	rule_type	train_data_fn	test_data_fn
10	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
11	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
12	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
13	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
14	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
15	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
16	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
17	true	true	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
18	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
19	true	true	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
20	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
21	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
22	true	true	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
23	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
24	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
25	true	true	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
26	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
27	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043436374	student	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
0	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
1	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
2	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
3	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
4	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
5	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
6	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
7	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
8	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
9	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
10	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
11	true	false	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
12	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
13	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
14	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
15	false	false	true	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
16	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
17	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
18	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
19	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
20	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
21	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
22	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
23	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
24	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
25	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
26	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
27	false	true	false	logTest	pilot	2698-0222c8bc-efec-46bf-ba83-34f6e8d8299e	1542043460933	explorer	10	DISUNCTION,DISJUNCTION	./js/training_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json	./js/test_data_body_color_green_or_secondary_color_purple_or_critter_bug_1.json
